,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
110,Anthony Firkser,TE,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
111,Ezekiel Elliott,RB,1,1,4,0,0.0,0,0,0,0.0,0,0,15,0
112,Jakob Johnson,FB,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
113,Chase Edmonds,RB,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
114,Khari Blasingame,FB,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
115,Trent Sherfield,WR,3,0,2,0,0.0,0,0,0,0.0,0,0,0,0
116,Foster Moreau,TE,1,0,3,0,0.0,0,0,0,0.0,0,0,0,0
117,Josiah Deguara,TE,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
118,Nick Westbrook-Ikhine,WR,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
119,Charlie Woerner,TE,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
120,Dominique Dafney,TE,1,0,2,0,0.0,0,0,0,0.0,0,0,0,0
121,Antoine Wesley,WR,1,0,2,0,0.0,0,0,0,0.0,0,0,0,0
122,Najee Harris,RB,1,2,2,-1,-0.5,0,0,0,-1.0,1,1,9,0
123,Sony Michel,RB,4,3,4,-8,-2.7,0,0,0,-2.0,0,0,8,0
